"Ref","DeletionMark","Parent","Customer","Vendor","Employee","Opponent","ManagerSegment","ShipmentConfirmationsBeforeSalesInvoice","GoodsReceiptBeforePurchaseInvoice","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf12effe70fcb","False","","True","False","False","False","","False","False","Retail customer","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a1","False","","True","True","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","True","True","Adel","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf13c5c2df438","False","","True","True","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","False","False","Foxred","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf1383f3b4361","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","True","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","False","False","Partner Ferron 1","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf1383f3b4364","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","True","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","False","False","Partner Ferron 2","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf116b32709a7","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1871","True","False","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099b","False","False","Seven Brand","","","Seven Brand TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf128cde918b9","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1871","True","True","False","False","","False","False","Partner Kalipso","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf116b32709a5","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf116b32709a7","True","False","False","False","","False","False","Alians","","","Alians TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf116b32709a6","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf116b32709a7","True","False","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","False","False","MIO","","","MIO TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a3","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a1","True","True","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","True","True","Astar","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a5","False","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a1","True","True","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","True","True","Crystal","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a9","False","","True","True","False","False","","True","True","NDB","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf135a6a475a9","False","","True","True","False","False","","True","True","Avira","","",""
